query_image,question,options,answer,template_image,mask
DS-MVTec/bottle/image/broken_large/000.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/000_rbg_mask.png
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the type of the defect?,"A: Foggy appearance.
B: Color fading.
C: Broken large.
D: Scratched surface.",C,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/000_rbg_mask.png
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. Where is the defect?,"A: Top right.
B: Top left.
C: Center.
D: Bottom right.",D,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/000_rbg_mask.png
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the appearance of the defect?,"A: A jagged irregular break.
B: A smooth crack.
C: A round hole.
D: A small chip.",A,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/000_rbg_mask.png
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the effect of the defect?,"A: It enhances the bottle's aesthetics.
B: It presents a safety hazard.
C: It changes the color of the glass.
D: It has no effect on the bottle's function.",B,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/000_rbg_mask.png
DS-MVTec/bottle/image/broken_large/001.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/106.png,DS-MVTec/bottle/image/rbg_mask/broken_large/001_rbg_mask.png
DS-MVTec/bottle/image/broken_large/001.png,There is a defect in the object. What is the type of the defect?,"A: Smudge.
B: Discoloration.
C: Scratch.
D: Break or chip.",D,MVTec-AD/bottle/train/good/106.png,DS-MVTec/bottle/image/rbg_mask/broken_large/001_rbg_mask.png
DS-MVTec/bottle/image/broken_large/001.png,There is a defect in the object. What is the appearance of the defect?,"A: An indentation.
B: A series of small dots.
C: A significant irregularity interrupting the circular edge.
D: A crack extending down the side.",C,MVTec-AD/bottle/train/good/106.png,DS-MVTec/bottle/image/rbg_mask/broken_large/001_rbg_mask.png
DS-MVTec/bottle/image/broken_large/002.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/152.png,DS-MVTec/bottle/image/rbg_mask/broken_large/002_rbg_mask.png
DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. What is the type of the defect?,"A: Discoloration.
B: Large break.
C: Dent.
D: Scratch.",B,MVTec-AD/bottle/train/good/152.png,DS-MVTec/bottle/image/rbg_mask/broken_large/002_rbg_mask.png
DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. Where is the defect?,"A: Bottom left quadrant.
B: Bottom right quadrant.
C: Entire circumference.
D: Center and top quadrants.",D,MVTec-AD/bottle/train/good/152.png,DS-MVTec/bottle/image/rbg_mask/broken_large/002_rbg_mask.png
DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. What is the appearance of the defect?,"A: A smooth line.
B: Jagged edges.
C: A small chip.
D: A fine crack.",B,MVTec-AD/bottle/train/good/152.png,DS-MVTec/bottle/image/rbg_mask/broken_large/002_rbg_mask.png
DS-MVTec/bottle/image/broken_large/003.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/108.png,DS-MVTec/bottle/image/rbg_mask/broken_large/003_rbg_mask.png
DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. What is the type of the defect?,"A: Scratch.
B: Break or crack.
C: Stain.
D: Discoloration.",B,MVTec-AD/bottle/train/good/108.png,DS-MVTec/bottle/image/rbg_mask/broken_large/003_rbg_mask.png
DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. What is the appearance of the defect?,"A: Smooth and circular.
B: Sharp edges and uneven surfaces.
C: Small dot.
D: Perfectly aligned with the rim.",B,MVTec-AD/bottle/train/good/108.png,DS-MVTec/bottle/image/rbg_mask/broken_large/003_rbg_mask.png
DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. How does the defect affect the object?,"A: It disrupts the continuity of the round opening.
B: It changes the color of the bottle.
C: It does not affect the bottle in any way.
D: It enhances the bottle's appearance.",A,MVTec-AD/bottle/train/good/108.png,DS-MVTec/bottle/image/rbg_mask/broken_large/003_rbg_mask.png
DS-MVTec/bottle/image/broken_large/004.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/004_rbg_mask.png
DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. Where is the defect?,"A: On the bottom right.
B: On the center left.
C: At the top.
D: On the center right.",B,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/004_rbg_mask.png
DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. What is the appearance of the defect?,"A: Jagged edges.
B: Square-shaped with clean edges.
C: Smooth and rounded.
D: Punctured hole.",A,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/004_rbg_mask.png
DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. What is the effect of the defect on the bottle's mouth?,"A: It compromises the integrity of the bottle's mouth.
B: It creates a unique pattern on the bottle's mouth.
C: It enhances the bottle's mouth appearance.
D: It changes the color of the bottle's mouth.",A,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/004_rbg_mask.png
DS-MVTec/bottle/image/broken_large/005.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/172.png,DS-MVTec/bottle/image/rbg_mask/broken_large/005_rbg_mask.png
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the type of the defect?,"A: Deformation.
B: Breakage.
C: Discoloration.
D: Scratching.",B,MVTec-AD/bottle/train/good/172.png,DS-MVTec/bottle/image/rbg_mask/broken_large/005_rbg_mask.png
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. Where is the defect?,"A: Directly in the center of the image.
B: Approximate center right side of the image.
C: Bottom left side of the image.
D: Top left side of the image.",B,MVTec-AD/bottle/train/good/172.png,DS-MVTec/bottle/image/rbg_mask/broken_large/005_rbg_mask.png
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the appearance of the defect?,"A: A faded area.
B: A substantial piece missing.
C: A dent.
D: A small crack.",B,MVTec-AD/bottle/train/good/172.png,DS-MVTec/bottle/image/rbg_mask/broken_large/005_rbg_mask.png
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the effect of the defect?,"A: Prevents the bottle from being filled.
B: Makes the bottle change color.
C: Makes it unsuitable for proper use.
D: Causes the bottle to wobble when placed on a surface.",C,MVTec-AD/bottle/train/good/172.png,DS-MVTec/bottle/image/rbg_mask/broken_large/005_rbg_mask.png
DS-MVTec/bottle/image/broken_large/006.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/096.png,DS-MVTec/bottle/image/rbg_mask/broken_large/006_rbg_mask.png
DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the type of the defect?,"A: Discoloration.
B: Hole.
C: Scratch.
D: Broken area.",D,MVTec-AD/bottle/train/good/096.png,DS-MVTec/bottle/image/rbg_mask/broken_large/006_rbg_mask.png
DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the appearance of the defect?,"A: Small, punctured spot.
B: Minor crack.
C: Jagged, uneven break with sharp edges.
D: Uniform gap around the rim.",C,MVTec-AD/bottle/train/good/096.png,DS-MVTec/bottle/image/rbg_mask/broken_large/006_rbg_mask.png
DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the effect of the defect?,"A: It improves the bottle's design.
B: There is no effect on the bottle's appearance.
C: Makes the bottle easier to open.
D: It results in an irregular, exposed surface.",D,MVTec-AD/bottle/train/good/096.png,DS-MVTec/bottle/image/rbg_mask/broken_large/006_rbg_mask.png
DS-MVTec/bottle/image/broken_large/007.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/146.png,DS-MVTec/bottle/image/rbg_mask/broken_large/007_rbg_mask.png
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. What is the type of the defect?,"A: Discoloration.
B: Small dent.
C: Broken large.
D: Scratched surface.",C,MVTec-AD/bottle/train/good/146.png,DS-MVTec/bottle/image/rbg_mask/broken_large/007_rbg_mask.png
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. Where is the defect?,"A: On the base of the bottle.
B: Around the approximate center of the bottle's opening.
C: On the side wall of the bottle.
D: On the body of the bottle.",B,MVTec-AD/bottle/train/good/146.png,DS-MVTec/bottle/image/rbg_mask/broken_large/007_rbg_mask.png
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. What is the appearance of the defect?,"A: Jagged edges with an irregular pattern.
B: A smooth, circular hole.
C: A uniform discoloration.
D: A small crack.",A,MVTec-AD/bottle/train/good/146.png,DS-MVTec/bottle/image/rbg_mask/broken_large/007_rbg_mask.png
